"Date","Price","Open","High","Low","Vol.","Change %"
"01/03/2020","9,646.60","9,631.20","9,650.70","9,581.20","135.13M","-0.46%"
"01/02/2020","9,691.20","9,639.10","9,705.40","9,615.10","142.38M","1.49%"
"12/31/2019","9,549.20","9,564.90","9,564.90","9,518.50","62.70M","-0.66%"
"12/30/2019","9,612.60","9,672.50","9,682.10","9,612.60","95.10M","-0.91%"
"12/27/2019","9,700.50","9,673.00","9,700.50","9,657.50","103.11M","0.40%"
"12/24/2019","9,661.80","9,632.10","9,661.80","9,607.80","35.44M","0.02%"
"12/23/2019","9,659.60","9,650.20","9,670.90","9,639.00","119.33M","-0.16%"
"12/20/2019","9,675.50","9,620.40","9,675.50","9,605.80","366.71M","0.61%"
"12/19/2019","9,617.20","9,622.60","9,635.40","9,567.40","165.38M","-0.05%"
"12/18/2019","9,621.80","9,606.10","9,659.20","9,606.10","156.46M","0.06%"
"12/17/2019","9,615.90","9,630.70","9,652.40","9,608.10","157.68M","-0.67%"
"12/16/2019","9,680.60","9,607.90","9,692.40","9,599.70","163.33M","1.22%"
"12/13/2019","9,563.70","9,598.20","9,650.90","9,554.10","261.41M","1.01%"
"12/12/2019","9,468.50","9,416.30","9,505.60","9,370.00","213.48M","0.81%"
"12/11/2019","9,392.50","9,315.40","9,421.50","9,300.30","145.84M","0.77%"
"12/10/2019","9,321.10","9,355.60","9,355.70","9,246.10","136.83M","-0.36%"
"12/09/2019","9,354.60","9,378.20","9,403.50","9,354.60","106.94M","-0.30%"
"12/06/2019","9,382.70","9,267.30","9,395.40","9,247.70","125.32M","1.51%"
"12/05/2019","9,243.40","9,284.30","9,325.80","9,243.40","120.86M","-0.30%"
"12/04/2019","9,270.80","9,146.20","9,277.60","9,144.80","152.24M","1.48%"
"12/03/2019","9,135.70","9,176.80","9,209.80","9,110.10","162.64M","-0.22%"
"12/02/2019","9,156.30","9,367.20","9,390.90","9,146.60","200.67M","-2.09%"
"11/29/2019","9,352.00","9,334.50","9,404.70","9,312.50","140.84M","-0.07%"
"11/28/2019","9,359.00","9,353.60","9,373.10","9,343.80","107.16M","-0.04%"
"11/27/2019","9,362.70","9,353.50","9,388.70","9,333.40","135.05M","0.41%"
"11/26/2019","9,324.80","9,323.60","9,329.80","9,288.20","214.69M","0.05%"
"11/25/2019","9,319.90","9,300.00","9,340.30","9,292.30","128.38M","0.70%"
"11/22/2019","9,254.70","9,238.50","9,295.50","9,229.70","173.88M","0.44%"
"11/21/2019","9,214.00","9,175.10","9,223.10","9,152.10","142.00M","-0.12%"
"11/20/2019","9,225.40","9,223.70","9,240.40","9,165.40","139.90M","-0.37%"
"11/19/2019","9,259.20","9,288.00","9,327.60","9,234.40","121.80M","0.01%"
"11/18/2019","9,258.00","9,265.10","9,293.10","9,213.00","135.27M","-0.04%"
"11/15/2019","9,261.40","9,222.10","9,273.30","9,186.90","161.26M","0.96%"
"11/14/2019","9,173.30","9,203.10","9,216.90","9,170.30","154.13M","-0.23%"
"11/13/2019","9,194.50","9,270.20","9,270.20","9,132.80","246.05M","-1.21%"
"11/12/2019","9,306.70","9,427.80","9,436.80","9,306.70","182.15M","-0.87%"
"11/11/2019","9,388.50","9,370.30","9,400.40","9,334.40","153.71M","-0.06%"
"11/08/2019","9,393.70","9,418.50","9,436.10","9,369.70","182.55M","-0.57%"
"11/07/2019","9,447.30","9,435.40","9,482.50","9,409.60","190.11M","0.52%"
"11/06/2019","9,398.40","9,407.30","9,443.90","9,360.90","173.97M","-0.10%"
"11/05/2019","9,407.90","9,424.20","9,432.30","9,373.80","218.12M","-0.09%"
"11/04/2019","9,416.40","9,376.50","9,439.00","9,354.30","180.10M","0.95%"
"11/01/2019","9,328.00","9,293.10","9,343.10","9,252.80","160.72M","0.76%"
"10/31/2019","9,257.50","9,296.30","9,305.30","9,208.90","227.12M","-0.29%"
"10/30/2019","9,284.50","9,384.50","9,386.60","9,219.70","192.87M","-1.23%"
"10/29/2019","9,400.10","9,440.70","9,445.50","9,362.20","155.53M","-0.35%"
"10/28/2019","9,433.00","9,432.30","9,455.60","9,394.60","123.72M","0.03%"
"10/25/2019","9,430.20","9,409.90","9,433.30","9,381.10","124.88M","0.41%"
"10/24/2019","9,391.80","9,413.50","9,448.00","9,378.60","157.23M","0.07%"
"10/23/2019","9,385.00","9,339.30","9,392.30","9,332.40","146.31M","0.05%"
"10/22/2019","9,380.20","9,393.30","9,417.40","9,344.60","139.50M","-0.24%"
"10/21/2019","9,402.30","9,350.30","9,424.30","9,342.10","167.99M","0.78%"
"10/18/2019","9,329.80","9,310.30","9,362.20","9,307.60","150.24M","-0.11%"
"10/17/2019","9,340.00","9,360.90","9,494.50","9,340.00","195.29M","-0.50%"
"10/16/2019","9,386.70","9,346.50","9,398.60","9,288.20","205.49M","0.33%"
"10/15/2019","9,356.10","9,292.00","9,370.30","9,278.30","191.06M","1.19%"
"10/14/2019","9,246.50","9,229.20","9,247.60","9,195.20","125.13M","-0.29%"
"10/11/2019","9,273.80","9,112.90","9,273.80","9,104.80","248.41M","1.86%"
"10/10/2019","9,104.40","8,997.40","9,112.20","8,970.30","156.10M","1.25%"
